NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,429.948
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,441.905
b38a03232f43b11c9d0788abaf060f7366053b6d,583.358
70b682d9a3636be23f6120fa9d6b164eb3c6002d,1.386
715494628a50142ce8cb17191cfe6d0f3cae0934,556.16
e656d6bad65c93fb2880f1eba5037008c8e75774,483.503
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,563.767
11539e86171bf07d3a36f09377d7f54ebcc8406a,424.515
043c544a2104aa8a9849f1a703a08d37a2f16839,462.222
76ba050e64ad100b856f0eaabd8f539d5c7dd185,460.04
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,1.873
db4da599aab5bb08dce27094a35fd3e36cd0abce,-2.805
940aede382ccb332fab15d413217695ec44ca765,461.93
9ad714b116da76d878dd399d187fccc2dd13dd63,559.151
dd34464a4d780b12a089347ad580418ac57a3055,538.876
f837a4cb05a5fd59d20138182f5e8c721eadd584,469.666
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-4.182
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-9.683
8b0c675d7fde14953668269d378c588f0df0498b,-6.449
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,383.721
3d203727f27abd83b71732d88d8cb1cc099f363b,434.928
d30d31c8ff45094e9a992c63d4a6f68b245a341a,73.834
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-17.154
cbc301183dec912f3513ca766bf03dd565f3a38f,487.12
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,627.735
11282da1ee78c8db45a041db4c744e33df489df0,441.784
03c67f683a415c2ea09b582248bd4cb08528c19d,613.325
046e844fb06a07ba30b41521f0065a8d9c6e5024,388.677
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,465.675
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,14.731
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-30.878
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,428.36
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,552.104
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,485.593
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,534.271
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,504.563
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,469.83
59bfa081e020013410d9f60f91813964ba749bb2,432.433
f5e069ee3bc95998464e8ff5da048b7f999921ed,423.819
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,563.846
664f44258212a1f7e4086f2b4845d586c543fa3f,478.887
265cd7befa74a9f2a198fc57baec9858075f8419,438.604
6f9ac44919bbd204e0ef15185388fd2d4bc61253,515.097
78de1ee60b55766cc3eba4089e36c57139b66ebd,462.556
24550edb10f283ef4e953fd6a8fedbfa211bd456,-16.122
1e61a474acdc043eb39a89c17fab34bd2ea1a940,442.639
940af68ded6af2875708611051aa7ff3f134d80b,504.61
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,494.896
c76ddf6e9f80984e901b12f9462a3cf029bea290,542.443
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,463.829
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,49.818
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,10.268
92823d467a2ced9529801e0e8a94802dd88f0c17,433.386
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,582.28
413cbb38b2e2522f8167ffb9daeac1347b281393,487.594
68985fad004092956a4b4ce94dd53dc76d07eaf7,469.926
bdca9aeb19521675af15f2c28d86f6bebc45a834,478.53
b65b19d42b7a4b644fe9f99366dcb37b120862d9,402.371
eda898aa8ec465cbac70de72ead0c6d688e5f95a,448.14
5357b6c09be4c7f3829b72f80de846a9228253cb,6.243
8d5c4481d736f6ce27976e400f4245bf10757608,415.647
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,15.469
089613ac7dca24109f84c72a97c83b2768b1df1c,-13.902
527773409bf373301dbd835e59a263c035c043b8,-15.05
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-19.605
c4cea54435c0fd0e171eed4c215479bb3ca86113,436.933
7d5cd89c6112b9a202a025a24355135bc60848c6,480.503
b70ab62384aa80545928a311f5b5d3db2f4d87ee,541.529
c96431dd924f366d2229a7f1455388b8cd85be49,580.161
1b72da5bb82cc150ecfe71218c02f155d694230b,-0.975
e429507efe1c2680cc464481850117d17083cd88,10.031
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,425.88
e724482370ae6126008ade80b564ad8d8a0a7cbd,460.316
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,574.665
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,-8.656
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,502.774
7f898f8939ae054359f83ee154bb91bc7dd2c959,531.322
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,468.706
82e3b12c6366008fabc238f299f117074e78de5d,394.097
0d838be0e718ceb786cdb10fcc12559e00440240,511.981
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,454.933
5a9d89465845ac2d81366275cbb1a81d627efd36,-5.75
c83fe640ba466ba904ac1055e53a875289888797,431.618
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,464.173
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,377.253
328639a0c753715c30a58bae70c82f2101153eb3,432.059
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,4.973
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,523.363
f56746cc2900258507d2b32c126f8db090db856f,450.309
1a4963b5fea8bb25c67750cdafbe84b01efad177,411.676
b520c940e62f4ed684417e7eacf00d85752060da,499.773
2e170cf2651ed448991af6fc5df15167733b2d8f,505.886
6efdd93a0ae289be6bb5a400bfc1deb077d75886,403.422
72ac2acc787d8cba0934cca3810ac091d792c8db,497.185
92a25eee14554806f081869cc9dac868fd1860fb,429.925
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,414.762
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,459.516
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,589.162
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,424.215
1730807e4916c5f7e8ab21e02ac5657bcea3e732,11.538
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,464.258
1a46d99716282410d1170f0f35069b34e34415d4,455.692
0467e022da4ef897f666bc76f31e1bc8976f7e92,479.215
993aca0d5eac6741117947c82a3647102096255e,457.669
94c96ade6ade21deb080bba6aad537fc4f195d47,486.048
36bb672077a46a3e4755cef90437a616d28bdf23,439.065
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,385.837
328ca19128d276eb4fbc309c54ec7f346c803d2f,711.151
27cdb62f0a2a5467efeb30aafbf246ed2320c532,408.093
c52cae37c3653620bbec72264c502f45ca2a8671,3.952
f9ef2695eb0986666093945894b8f2fee351bf22,526.111
2178c497293d0cab01ce74f5105b1a398fb12d8e,-11.545
e21faa0c07406dde71ec02f266b19b314ba8b0e2,0.785
8a021391cdaac100dab56c59284bd50137a74129,546.412
12ee0df69325d97cb95404958c4acf4112aeab8a,21.723
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,493.198
66cf0f8b5af2466f9616fd15c0c10344df84982a,88.078
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,446.158
60edc5708acd60680891ea15379dd07c7a5924ff,-12.456
b9f786712775e0d1d735398d710b01f404c985a3,393.834
564958997e204bda06fbe90afc4722805c78a855,568.255
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,410.565
527098f4ee3ceb5c393981930d23b8fe154f4db9,-18.874
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,475.159
8296743fdd105ce9183561cf5b359b0a3781465e,433.642
a3b79e8c739832c77df2ba6bcdb23a7518155a33,30.027
6602c7f15a1fdd082265b64976448c6809df792d,490.371
31ae66f0fe024acae4490915c348e487f2367574,499.946
81901aa980653106e64863d957387d24e2c00af3,431.097
28e10d1bd0b6effe0edd503446ebda948ad240ad,421.565
53a7ee52a87f80241e2ca13c923e06b72bf3a059,432.305
50be5f75fdaedae454b0c3d63b7277854bd08d8f,7.779
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,4.797
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,550.732
d1e2b5c758988b6d69e90aedab3e02cae47d61c4,-13.86
02681b5c893b94db204713cb4b20dde6fc3f2f95,515.93
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,415.301
829dd51f77f3ae74c2216de2d86139bd0a03367c,29.103
28c6829e69879bc1d34db1cd51b89562d3cc596b,503.786
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,470.252
96715a069fbcb2e84b26a01563921962ccc4601e,13.115
923538833160e8432636c88e8119378a43b3d766,455.202
aacb834258765a2959ee63c57d2be4923d11a696,451.596
c32e484025571dd94255a77f21de08ab8d2aaba8,473.047
d425deeec0a3c7006f14d732eff8933d5155067f,465.854
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,475.967
716a178e9a6f7791b820da77879943ac9040a547,480.654
430212cd8767ef2bff8cda0f61729203fef7523e,411.026
e97d33221238e445688a0e984778d4ecac788be2,499.243
695c9481580951d830c4431fc6c9dee778ba9ca1,30.997
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,499.194
0411742cbb54fe1b6927b25f0bb52b885828c828,429.94
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,388.83
bc40729846bf209b06e2a9a890e01d4e6780f5b4,14.225
e4e7a38b58319ad0a5cde4848622b21783c907e9,487.357
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,566.428
aec1b63c3f0c9554e533752d8fe138ca82101d4a,430.742
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,492.313
4b48d500ba4410546ce01f7f6d44bcbafa73994f,409.443
edf33c347c866d26872f540bcc1f6ae415f3294c,474.522
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,541.291
3a265ea6ebdc4eb2520db912adf5592f03b3d634,412.488
99bfcef2dc3695a617f241bfd3b6ead3fd653d41,-14.157
0ade5488fd62db34c11a369bdbb4327faacc1635,13.486
e418fbb77e6ff4103205f3b7f6a66d53183d809b,457.177
8ddbfe70cd41135cb6f125335a48d100789edbf7,389.426
fa2f4f80278ac5441ab2f2d8c02a9f920ba6c119,17.845
1d3e406d0223d4cb0328850d689ba9fcadf62776,430.254
67d9e9d6629fff7ad9cdb0f1e48c76865637aa73,-20.227
ecaf075653faf2dcdf946c0ce50629f5083347c0,428.729
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,487.005
d43894c5e83bb3a7e5000636295b0b050de19309,-10.0
5b7877d12550dd35d27a02b66a13f2a27bce11ca,448.915
18f800ec03e33ebad5fb97aa8465dd3e5961337e,429.447
bb39cc6296f2c9da3963994899c5c34b50965720,-2.908
76facda8958cbaf5dba09a4d35d3b4de7596a49d,-14.832
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,501.929
e887be276bf553575b20ed1a0de8833d9cb7e247,8.732
cc8794762ffa592758b5117d67e0d02e2e8b9c49,522.822
894d277c608610fa8c31db531f64582b9569b2e9,446.017
b2e029961aa0f20071b74708e0d97e6f200ec582,448.991
12c7d85e168b09a0278df140a22bcb0052a59b0a,431.403
64c4892488a9c6281bdabf467a0b5a6382d248e6,481.122
944e790f6e64eccf6df361247858165f17dd7abb,26.136
ac112e94587e6e4249b7182329ee5a5040ae94ea,530.406
a58cf11e498228f9aaca92b0c49f955a6163fb59,448.698
e8c84701c041b7f3b39f3125a0449fa633589fbe,489.012
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,555.707
c650c8f7cbe1a7b00f4edbcf43c8b97ce85d0d64,-11.166
